,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
12,13.0,Los Angeles Lakers*,82,240.0,38.0,83.0,0.458,5.4,14.7,0.367,32.6,68.3,0.478,17.0,23.1,0.738,14.0,28.2,42.2,24.5,7.2,5.9,16.3,22.0,98.5
13,14.0,Orlando Magic*,82,242.1,37.3,82.1,0.454,6.0,16.5,0.366,31.3,65.6,0.477,18.3,24.8,0.736,13.3,28.8,42.1,22.8,7.9,4.0,15.1,22.3,99.0
14,15.0,Vancouver Grizzlies,82,242.4,37.6,79.1,0.475,5.6,15.0,0.374,32.0,64.1,0.498,19.0,26.0,0.733,13.4,31.1,44.5,24.2,8.5,5.8,17.4,21.8,99.8
15,16.0,Denver Nuggets,82,241.8,37.7,82.2,0.459,5.5,15.1,0.367,32.2,67.1,0.479,19.5,25.7,0.76,11.4,29.1,40.5,22.9,7.5,5.1,13.8,23.2,100.4
16,17.0,Houston Rockets*,82,241.5,38.8,84.3,0.46,5.9,16.4,0.359,32.9,67.9,0.484,17.4,24.5,0.707,13.7,30.5,44.2,23.7,8.2,4.9,14.9,22.5,100.7
17,18.0,Milwaukee Bucks,82,240.6,37.6,78.3,0.48,6.3,15.8,0.397,31.3,62.5,0.501,19.4,26.7,0.725,12.2,28.1,40.3,23.7,7.9,4.5,14.8,21.4,100.9
18,19.0,Washington Bullets,82,241.5,37.3,81.1,0.46,4.6,13.5,0.342,32.7,67.6,0.484,22.2,29.0,0.766,13.5,28.9,42.4,20.6,8.5,4.8,16.6,23.1,101.5
19,20.0,Sacramento Kings*,82,240.9,36.4,78.8,0.462,5.6,14.8,0.379,30.8,64.0,0.482,23.8,31.7,0.751,12.9,28.2,41.1,22.0,9.4,6.2,16.5,24.5,102.3
20,21.0,Los Angeles Clippers,82,240.6,37.7,78.9,0.478,5.4,14.6,0.372,32.3,64.3,0.502,22.2,29.8,0.746,12.6,28.8,41.4,20.2,8.4,4.9,16.5,22.7,103.0
21,22.0,Golden State Warriors,82,240.9,39.1,82.4,0.475,5.8,16.0,0.365,33.3,66.4,0.501,19.1,25.6,0.746,13.6,28.0,41.5,25.6,8.5,4.7,16.8,23.9,103.1
22,23.0,Minnesota Timberwolves,82,241.2,37.6,80.3,0.469,6.5,17.0,0.38,31.2,63.3,0.492,21.5,28.9,0.744,12.6,28.3,40.9,24.0,8.8,6.1,16.4,23.7,103.2
23,24.0,Charlotte Hornets,82,242.4,39.7,81.1,0.489,6.5,16.3,0.396,33.2,64.8,0.513,17.6,23.9,0.736,11.6,28.8,40.4,25.0,6.5,4.5,14.8,22.3,103.4
24,25.0,Phoenix Suns*,82,243.4,39.2,83.4,0.471,6.7,18.2,0.369,32.5,65.2,0.499,18.8,25.4,0.739,12.2,29.0,41.3,25.5,7.1,5.1,14.5,24.5,104.0
25,26.0,Philadelphia 76ers,82,240.6,40.0,82.9,0.483,6.4,17.3,0.37,33.6,65.5,0.513,18.0,24.2,0.741,14.2,30.2,44.4,25.7,8.8,5.7,15.7,23.3,104.5
26,27.0,Toronto Raptors,82,241.8,38.4,80.8,0.475,6.3,17.3,0.367,32.0,63.5,0.504,21.9,29.5,0.745,13.4,27.7,41.1,24.3,9.3,5.9,16.2,21.2,105.0
27,28.0,Boston Celtics,82,242.7,40.2,83.6,0.481,5.1,14.2,0.357,35.1,69.4,0.506,21.5,28.9,0.747,12.7,31.6,44.3,23.4,8.1,6.0,16.0,24.0,107.0
28,29.0,Dallas Mavericks,82,243.0,41.5,84.4,0.492,5.7,14.5,0.394,35.8,69.9,0.512,18.7,25.6,0.732,13.3,33.2,46.5,24.1,8.6,6.5,16.4,22.5,107.5
29,,League Average,82,241.6,37.0,80.2,0.462,5.9,16.0,0.367,31.2,64.1,0.486,19.5,26.4,0.74,12.6,28.6,41.3,22.7,8.0,5.1,15.8,23.0,99.5
