,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Unnamed: 22_level_0,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0
,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22_level_1,eFG%,TOV%,DRB%,FT/FGA,Unnamed: 27_level_1,Arena,Attend.,Attend./G
0,1.0,Chicago Bulls*,29.9,72.0,10.0,70,12,12.24,-0.44,11.8,115.2,101.8,13.4,91.1,0.291,0.196,0.555,,0.517,13.1,36.9,0.217,,0.482,16.1,71.1,0.222,,United Center,969149,23638
1,2.0,Seattle SuperSonics*,29.6,64.0,18.0,61,21,7.79,-0.4,7.4,110.3,102.1,8.2,93.8,0.379,0.249,0.574,,0.526,16.2,29.7,0.288,,0.479,16.7,69.5,0.252,,KeyArena at Seattle Center,697301,17007
2,3.0,Utah Jazz*,29.5,55.0,27.0,59,23,6.59,-0.34,6.25,113.3,106.1,7.2,90.0,0.359,0.158,0.566,,0.517,14.1,31.6,0.276,,0.489,15.1,71.7,0.295,,Delta Center,813073,19831
3,4.0,San Antonio Spurs*,29.4,59.0,23.0,58,24,6.3,-0.33,5.98,110.2,103.5,6.7,93.3,0.342,0.2,0.558,,0.516,13.6,27.5,0.252,,0.472,13.9,70.0,0.216,,Alamodome,782701,19791
4,5.0,Orlando Magic*,27.7,60.0,22.0,56,26,5.56,-0.16,5.4,112.9,106.9,6.0,91.8,0.336,0.248,0.562,,0.529,13.2,29.0,0.232,,0.491,14.0,68.8,0.223,,Orlando Arena,707168,17248
5,6.0,Los Angeles Lakers*,27.1,53.0,29.0,53,29,4.45,-0.24,4.21,111.4,106.6,4.8,92.4,0.306,0.203,0.555,,0.515,13.3,30.1,0.228,,0.491,14.9,66.8,0.205,,Great Western Forum,649634,15845
6,7.0,Indiana Pacers*,29.4,52.0,30.0,50,32,3.24,-0.14,3.11,110.8,107.2,3.6,89.3,0.389,0.157,0.56,,0.509,15.5,33.0,0.294,,0.491,14.7,69.3,0.271,,Market Square Arena,673967,16438
7,8.0,Cleveland Cavaliers*,27.5,47.0,35.0,49,33,2.59,-0.09,2.49,109.9,106.7,3.2,82.3,0.296,0.264,0.551,,0.51,13.7,28.6,0.226,,0.506,16.3,70.2,0.242,,Gund Arena,730095,17807
8,9.0,Detroit Pistons*,26.8,46.0,36.0,49,33,2.5,-0.05,2.45,107.9,105.1,2.8,87.7,0.36,0.221,0.551,,0.504,14.6,28.0,0.271,,0.483,13.7,71.7,0.229,,The Palace of Auburn Hills,730573,17819
