,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,San Antonio Spurs*,82,240.9,45.3,93.4,0.485,,,,45.3,93.4,0.485,24.5,30.8,0.797,13.5,31.1,44.6,25.8,10.5,6.1,21.6,24.0,115.0
1,2.0,Denver Nuggets*,82,241.2,43.8,91.1,0.481,,,,43.8,91.1,0.481,25.0,33.9,0.738,15.7,32.9,48.6,27.6,11.6,5.7,24.5,26.1,112.6
2,3.0,Portland Trail Blazers*,82,240.6,44.2,91.9,0.481,,,,44.2,91.9,0.481,23.4,30.7,0.762,15.4,33.0,48.3,24.3,10.6,6.0,21.4,27.1,111.7
3,4.0,Golden State Warriors*,82,241.2,45.4,95.5,0.475,,,,45.4,95.5,0.475,20.1,26.5,0.759,15.9,32.2,48.0,25.9,11.0,5.3,19.8,25.1,110.9
4,5.0,Philadelphia 76ers*,82,241.2,42.8,89.3,0.48,,,,42.8,89.3,0.48,24.5,33.3,0.736,15.8,33.6,49.3,24.0,9.9,6.8,23.4,25.3,110.2
5,6.0,Detroit Pistons*,82,240.6,45.9,95.0,0.483,,,,45.9,95.0,0.483,17.6,23.9,0.736,14.3,30.4,44.7,24.4,10.7,5.6,21.0,26.8,109.4
6,7.0,New York Knicks,82,240.9,44.6,91.8,0.486,,,,44.6,91.8,0.486,19.4,25.3,0.764,11.9,32.7,44.6,23.9,8.7,3.7,20.5,24.5,108.6
7,8.0,Milwaukee Bucks,82,240.3,44.7,95.6,0.468,,,,44.7,95.6,0.468,18.9,25.3,0.75,14.9,30.7,45.6,24.0,9.6,4.2,20.1,25.5,108.4
8,9.0,Kansas City Kings,82,241.8,43.4,94.3,0.46,,,,43.4,94.3,0.46,20.8,26.1,0.797,14.9,31.6,46.5,24.2,10.4,4.7,19.2,26.5,107.7
9,10.0,Los Angeles Lakers*,82,241.5,44.7,93.4,0.478,,,,44.7,93.4,0.478,17.5,23.7,0.74,14.4,32.0,46.4,25.1,9.8,5.4,18.8,22.8,106.9
10,11.0,Indiana Pacers,82,240.9,43.0,95.6,0.449,,,,43.0,95.6,0.449,20.9,28.0,0.746,17.2,31.5,48.7,24.5,11.3,5.6,19.6,24.8,106.8
11,12.0,Houston Rockets*,82,241.2,43.1,89.3,0.483,,,,43.1,89.3,0.483,20.2,25.6,0.787,15.3,32.1,47.4,23.3,7.5,5.0,19.5,26.0,106.4
12,13.0,Washington Bullets*,82,240.6,42.9,91.2,0.47,,,,42.9,91.2,0.47,19.8,27.6,0.716,14.5,33.6,48.1,23.6,7.8,5.3,20.5,23.7,105.5
13,14.0,Buffalo Braves,82,240.6,41.0,91.2,0.45,,,,41.0,91.2,0.45,22.9,30.4,0.754,14.8,32.0,46.8,23.0,8.3,4.8,20.7,22.5,105.0
14,15.0,Phoenix Suns,82,240.6,41.5,88.4,0.47,,,,41.5,88.4,0.47,21.8,28.6,0.764,12.9,30.4,43.3,25.6,9.1,4.2,22.3,25.5,104.9
15,16.0,New Orleans Jazz,82,241.2,42.0,92.7,0.453,,,,42.0,92.7,0.453,20.6,26.6,0.773,15.2,34.5,49.7,22.6,7.5,4.4,20.8,25.6,104.6
16,17.0,Boston Celtics*,82,241.8,42.2,94.8,0.445,,,,42.2,94.8,0.445,20.1,26.6,0.756,15.1,36.2,51.3,24.5,6.2,3.2,20.4,24.9,104.5
17,18.0,Seattle SuperSonics,82,241.5,41.9,93.2,0.45,,,,41.9,93.2,0.45,20.1,29.1,0.69,16.5,29.7,46.2,21.6,11.4,6.1,21.5,26.8,104.0
18,19.0,Atlanta Hawks,82,240.3,40.0,87.5,0.457,,,,40.0,87.5,0.457,22.4,29.9,0.749,15.2,30.6,45.8,23.0,8.9,4.0,21.7,28.1,102.4
19,20.0,Cleveland Cavaliers*,82,241.2,42.1,93.8,0.449,,,,42.1,93.8,0.449,17.9,24.3,0.737,16.0,31.3,47.3,22.5,7.1,5.8,16.5,23.8,102.1
20,21.0,Chicago Bulls*,82,241.5,39.6,87.6,0.452,,,,39.6,87.6,0.452,19.7,26.3,0.747,15.8,33.0,48.7,24.3,8.5,4.4,18.9,22.8,98.9
21,22.0,New York Nets,82,240.6,37.8,88.1,0.429,,,,37.8,88.1,0.429,20.4,27.7,0.736,14.1,31.1,45.2,17.3,9.8,5.3,19.9,26.6,95.9
22,,League Average,82,241.0,42.8,92.0,0.465,,,,42.8,92.0,0.465,20.8,27.7,0.751,15.0,32.1,47.1,23.9,9.4,5.1,20.6,25.2,106.5
