,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,New York Knicks*,72,242.1,37.9,86.2,0.44,12.0,35.6,0.337,25.9,50.6,0.512,16.9,22.2,0.761,9.7,34.4,44.1,23.6,6.6,5.4,12.8,17.9,104.7
1,2.0,Los Angeles Lakers*,72,242.4,39.8,86.4,0.46,11.4,32.2,0.352,28.4,54.2,0.524,15.9,20.5,0.776,8.8,33.2,42.0,24.7,8.2,4.5,15.2,21.3,106.8
2,3.0,Utah Jazz*,72,241.0,40.9,91.4,0.447,10.9,31.8,0.341,30.0,59.6,0.504,14.5,18.9,0.768,9.8,32.8,42.6,22.3,7.7,3.9,11.5,19.0,107.2
3,4.0,Los Angeles Clippers*,72,240.0,40.1,86.4,0.464,11.6,32.5,0.356,28.5,53.9,0.529,16.1,20.7,0.777,9.2,32.0,41.2,22.9,7.1,4.2,12.8,18.1,107.8
4,5.0,Miami Heat*,72,241.4,39.1,85.2,0.459,14.3,39.1,0.365,24.8,46.2,0.538,15.6,19.9,0.782,9.5,33.4,42.9,25.8,7.5,4.0,15.1,19.6,108.0
5,6.0,Philadelphia 76ers*,72,242.1,39.4,86.9,0.453,11.9,33.0,0.36,27.5,53.9,0.51,17.4,22.8,0.764,9.8,33.2,42.9,23.5,7.2,4.7,15.6,21.0,108.1
6,7.0,Phoenix Suns*,72,242.8,40.5,86.8,0.467,11.6,32.8,0.354,28.9,54.0,0.535,16.8,21.7,0.778,9.4,33.3,42.7,22.9,6.9,3.6,13.6,18.0,109.5
7,8.0,Denver Nuggets*,72,242.8,40.0,85.4,0.469,13.0,35.7,0.363,27.1,49.7,0.545,17.1,22.1,0.773,9.1,32.1,41.2,25.9,7.5,4.5,14.1,19.2,110.1
8,9.0,Dallas Mavericks*,72,240.3,40.1,87.1,0.46,12.8,35.2,0.365,27.2,51.8,0.525,17.2,22.5,0.764,9.8,34.2,43.9,22.7,7.3,3.7,12.6,20.1,110.2
9,10.0,Detroit Pistons,72,242.1,41.4,86.9,0.476,11.3,31.4,0.362,30.0,55.6,0.541,17.0,22.3,0.76,10.0,34.4,44.3,24.8,8.0,5.8,13.9,20.4,111.1
10,11.0,Boston Celtics*,72,241.4,39.9,86.0,0.464,12.8,34.3,0.374,27.1,51.6,0.524,18.5,23.5,0.785,9.4,33.1,42.5,24.1,7.4,4.6,14.1,19.3,111.2
11,12.0,Atlanta Hawks*,72,241.7,41.3,89.1,0.463,11.9,34.2,0.349,29.3,55.0,0.534,16.9,21.1,0.803,10.0,32.7,42.7,24.4,7.7,5.0,12.3,19.8,111.4
12,13.0,Charlotte Hornets,72,241.0,41.3,88.1,0.468,14.5,39.5,0.366,26.8,48.6,0.552,14.4,19.3,0.745,10.6,34.5,45.2,27.1,8.1,4.8,14.8,18.6,111.4
13,14.0,Chicago Bulls,72,241.4,41.4,87.7,0.473,11.5,32.3,0.356,29.9,55.3,0.541,17.2,22.2,0.774,8.7,33.5,42.1,24.1,8.5,5.1,12.7,17.7,111.6
14,15.0,Toronto Raptors,72,240.3,39.0,84.7,0.461,13.9,36.7,0.379,25.1,48.0,0.523,19.8,24.8,0.799,10.0,35.9,45.9,26.0,6.6,5.6,16.1,19.5,111.7
15,16.0,Memphis Grizzlies*,72,241.7,41.0,88.7,0.462,12.9,35.1,0.367,28.2,53.6,0.525,17.4,22.1,0.788,9.8,34.9,44.7,25.4,7.7,5.2,14.8,18.3,112.3
16,17.0,Cleveland Cavaliers,72,242.1,42.0,86.7,0.484,12.4,32.4,0.383,29.6,54.3,0.545,15.9,20.4,0.779,9.9,33.8,43.7,25.4,8.5,5.9,14.3,20.2,112.3
17,18.0,Golden State Warriors,72,240.3,40.2,89.0,0.452,12.4,34.5,0.359,27.9,54.5,0.511,19.8,25.5,0.778,10.7,36.6,47.3,23.8,7.9,4.3,15.0,19.5,112.7
18,19.0,San Antonio Spurs,72,242.8,42.4,89.8,0.472,12.3,32.6,0.377,30.1,57.2,0.527,15.7,20.7,0.758,10.2,37.2,47.4,24.8,6.3,5.1,13.2,18.6,112.8
19,20.0,Orlando Magic,72,240.7,42.2,89.7,0.471,13.7,36.8,0.373,28.5,52.9,0.539,15.2,19.3,0.786,9.8,37.6,47.4,26.0,7.6,5.3,12.7,18.6,113.3
20,21.0,Brooklyn Nets*,72,241.7,41.9,91.3,0.459,13.2,36.2,0.365,28.7,55.1,0.521,17.1,22.0,0.775,10.5,32.6,43.1,24.0,7.6,4.6,12.6,18.9,114.1
21,22.0,Milwaukee Bucks*,72,240.7,42.4,92.9,0.456,14.8,38.6,0.384,27.6,54.3,0.507,14.6,18.8,0.78,9.6,33.8,43.4,25.1,7.0,4.8,13.2,18.3,114.2
22,23.0,Portland Trail Blazers*,72,240.3,41.8,88.3,0.473,12.9,34.6,0.372,28.9,53.6,0.538,17.9,22.8,0.787,9.9,35.5,45.4,24.9,6.1,4.6,12.4,19.1,114.3
23,24.0,New Orleans Pelicans,72,242.1,41.9,89.3,0.469,14.5,38.1,0.38,27.4,51.2,0.535,16.6,21.1,0.79,8.9,32.9,41.8,25.9,7.7,5.9,13.3,21.3,114.9
24,25.0,Indiana Pacers,72,242.4,42.7,91.3,0.468,11.5,31.5,0.366,31.2,59.9,0.521,18.4,23.5,0.782,11.3,35.5,46.8,26.1,7.4,5.3,14.8,18.1,115.3
25,26.0,Oklahoma City Thunder,72,241.0,43.4,91.7,0.473,13.6,37.3,0.364,29.8,54.4,0.548,15.3,19.8,0.773,10.1,37.0,47.1,25.8,9.0,5.3,13.1,18.6,115.6
26,27.0,Houston Rockets,72,240.3,42.7,89.0,0.48,13.4,35.2,0.382,29.3,53.9,0.544,17.9,22.8,0.783,9.9,37.7,47.6,25.8,8.5,5.3,14.7,19.3,116.7
27,28.0,Sacramento Kings,72,240.3,43.6,89.4,0.488,12.4,32.6,0.38,31.2,56.8,0.549,17.8,22.7,0.787,10.7,34.6,45.2,25.3,7.6,4.7,13.7,18.7,117.4
28,29.0,Minnesota Timberwolves,72,241.7,43.0,89.3,0.482,13.1,33.5,0.392,29.9,55.8,0.536,18.5,23.5,0.786,10.0,35.8,45.8,26.8,7.6,5.5,15.3,19.9,117.7
29,30.0,Washington Wizards*,72,241.7,43.1,91.6,0.471,12.4,33.7,0.369,30.7,57.9,0.529,19.8,25.4,0.781,10.3,35.8,46.1,24.5,8.2,4.8,14.7,22.0,118.5
30,,League Average,72,241.4,41.2,88.4,0.466,12.7,34.6,0.367,28.5,53.8,0.53,17.0,21.8,0.778,9.8,34.5,44.3,24.8,7.6,4.9,13.8,19.3,112.1
