,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
11,12.0,Memphis Grizzlies*,82,241.2,40.3,88.6,0.455,12.0,34.5,0.349,28.3,54.2,0.522,17.3,22.4,0.771,10.0,33.0,43.0,25.0,7.2,6.0,15.1,19.8,109.9
12,13.0,New Orleans Pelicans*,82,240.9,40.3,85.5,0.471,13.0,35.5,0.365,27.3,50.0,0.546,16.8,21.4,0.786,9.3,32.5,41.8,24.9,7.4,4.8,14.2,20.5,110.3
13,14.0,Denver Nuggets*,82,241.5,41.1,87.4,0.47,11.8,34.2,0.346,29.2,53.2,0.549,16.5,21.7,0.757,9.7,32.7,42.4,25.4,7.9,4.8,12.8,19.9,110.4
14,15.0,Oklahoma City Thunder,82,241.5,41.4,90.5,0.458,13.6,38.7,0.353,27.8,51.8,0.536,15.3,19.9,0.771,11.0,37.3,48.4,26.1,8.5,6.0,13.2,17.8,111.8
15,16.0,Washington Wizards,82,241.8,41.3,88.9,0.464,11.5,31.8,0.361,29.8,57.1,0.522,18.0,22.3,0.807,10.2,34.0,44.2,23.7,7.3,4.2,11.9,19.9,112.0
16,17.0,Chicago Bulls*,82,240.6,41.4,87.4,0.474,11.7,32.0,0.366,29.7,55.5,0.536,17.4,21.9,0.795,9.3,33.9,43.2,25.0,7.1,5.0,13.1,18.2,112.0
17,18.0,Milwaukee Bucks*,82,240.9,41.4,90.6,0.456,14.5,40.6,0.356,26.9,50.0,0.537,15.0,19.9,0.751,9.9,34.2,44.1,25.9,7.4,4.4,13.0,19.7,112.1
18,19.0,Brooklyn Nets*,82,240.9,40.7,90.2,0.452,12.5,36.3,0.345,28.2,53.9,0.523,18.1,23.0,0.788,11.3,32.8,44.1,23.8,7.9,4.9,13.3,19.7,112.1
19,20.0,Orlando Magic,82,241.2,40.8,89.0,0.458,13.2,36.3,0.363,27.6,52.7,0.524,17.4,22.6,0.772,10.4,36.8,47.1,24.8,8.0,5.2,13.2,18.3,112.2
20,21.0,Atlanta Hawks*,82,240.3,41.9,89.0,0.471,12.8,35.2,0.364,29.1,53.7,0.541,15.8,19.9,0.792,10.2,33.6,43.9,25.4,7.0,4.5,12.8,20.3,112.4
21,22.0,Detroit Pistons,82,241.2,40.6,86.0,0.473,11.8,32.5,0.362,28.9,53.5,0.54,19.5,25.1,0.777,10.3,35.9,46.3,25.1,7.4,5.2,14.6,19.8,112.5
22,23.0,San Antonio Spurs,82,241.5,42.5,91.2,0.466,12.1,33.6,0.36,30.4,57.5,0.528,16.0,20.9,0.767,11.4,35.4,46.8,24.0,7.3,4.9,13.8,18.9,113.0
23,24.0,Minnesota Timberwolves*,82,241.2,40.2,87.4,0.46,13.1,37.3,0.35,27.2,50.0,0.543,19.8,25.4,0.78,11.0,34.9,45.9,26.2,7.2,4.8,16.3,20.9,113.3
24,25.0,Indiana Pacers,82,242.4,42.5,88.0,0.483,12.0,32.3,0.372,30.5,55.7,0.547,17.9,22.5,0.797,10.2,33.0,43.1,25.1,8.1,4.9,13.3,19.2,114.9
25,26.0,Charlotte Hornets,82,242.4,42.0,90.1,0.466,14.0,38.7,0.362,28.0,51.4,0.544,16.9,22.1,0.763,11.4,35.6,47.0,26.5,7.5,4.6,15.0,19.6,114.9
26,27.0,Los Angeles Lakers,82,243.7,42.6,90.5,0.47,12.6,35.8,0.352,30.0,54.7,0.548,17.4,23.3,0.747,11.0,35.6,46.6,26.3,8.3,4.1,14.0,20.1,115.1
27,28.0,Portland Trail Blazers,82,240.6,41.1,85.9,0.479,13.8,37.1,0.371,27.4,48.8,0.561,19.1,24.6,0.777,9.8,35.0,44.7,26.6,8.2,5.0,14.0,19.4,115.1
28,29.0,Sacramento Kings,82,241.5,43.4,90.6,0.479,13.0,34.9,0.372,30.4,55.7,0.547,15.9,20.5,0.776,10.6,35.3,45.8,25.3,8.1,4.8,13.5,20.3,115.8
29,30.0,Houston Rockets,82,240.9,43.4,89.9,0.483,12.8,36.2,0.353,30.7,53.8,0.57,18.5,23.7,0.782,11.2,34.5,45.7,25.6,9.5,5.8,14.1,22.1,118.2
30,,League Average,82,241.4,40.6,88.1,0.461,12.4,35.2,0.354,28.2,52.9,0.533,16.9,21.9,0.775,10.3,34.1,44.5,24.6,7.6,4.7,13.8,19.6,110.6
