,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Philadelphia 76ers*,82,241.8,44.2,91.1,0.486,,,,44.2,91.1,0.486,26.3,34.9,0.752,15.8,32.9,48.7,27.1,9.8,6.7,21.4,26.7,114.7
1,2.0,San Antonio Spurs*,82,241.2,46.3,92.6,0.5,,,,46.3,92.6,0.5,21.9,27.2,0.804,12.6,31.6,44.2,27.3,9.7,6.7,20.3,22.8,114.5
2,3.0,New York Knicks*,82,244.0,46.5,95.4,0.488,,,,46.5,95.4,0.488,20.4,27.1,0.751,14.4,32.8,47.2,28.5,10.0,5.4,21.5,26.7,113.4
3,4.0,Milwaukee Bucks*,82,243.7,46.4,96.1,0.482,,,,46.4,96.1,0.482,19.7,27.1,0.726,15.1,30.2,45.4,28.1,10.6,5.8,20.5,24.9,112.4
4,5.0,Phoenix Suns*,82,241.2,45.5,95.6,0.476,,,,45.5,95.6,0.476,21.3,28.4,0.751,14.2,31.5,45.7,28.5,12.9,4.5,21.5,23.9,112.3
5,6.0,Denver Nuggets*,82,241.8,43.3,90.7,0.477,,,,43.3,90.7,0.477,25.2,33.0,0.765,14.4,33.4,47.7,26.7,10.0,5.1,21.3,25.8,111.8
6,7.0,Los Angeles Lakers*,82,241.5,45.5,93.6,0.487,,,,45.5,93.6,0.487,19.2,25.5,0.752,13.9,32.3,46.1,27.2,9.8,5.0,18.9,24.0,110.3
7,8.0,Washington Bullets*,82,241.8,43.7,94.8,0.461,,,,43.7,94.8,0.461,23.0,32.4,0.711,16.5,34.3,50.8,23.8,8.1,4.7,19.7,22.9,110.3
8,9.0,Kansas City Kings,82,241.8,43.9,94.3,0.466,,,,43.9,94.3,0.466,21.6,27.6,0.785,14.7,32.1,46.8,24.3,9.7,4.5,20.6,27.2,109.5
9,10.0,Detroit Pistons,82,242.1,43.3,90.5,0.478,,,,43.3,90.5,0.478,22.3,30.4,0.736,15.0,31.7,46.7,22.4,10.6,4.0,22.7,24.1,109.0
10,11.0,Indiana Pacers,82,241.8,42.7,94.9,0.45,,,,42.7,94.9,0.45,23.2,31.3,0.743,16.9,32.0,48.9,24.2,9.9,5.6,20.0,27.2,108.6
11,12.0,Portland Trail Blazers*,82,240.6,43.4,89.8,0.483,,,,43.4,89.8,0.483,20.9,27.5,0.76,14.5,32.8,47.2,25.2,9.7,4.8,19.8,25.2,107.7
12,13.0,New Orleans Jazz,82,241.2,43.5,94.1,0.462,,,,43.5,94.1,0.462,20.6,28.4,0.725,16.0,35.5,51.4,25.4,8.1,6.3,20.7,23.6,107.6
13,14.0,New Jersey Nets,82,242.7,43.3,97.6,0.443,,,,43.3,97.6,0.443,20.1,28.1,0.717,15.9,31.6,47.6,22.9,10.5,7.7,21.6,28.2,106.7
14,15.0,Golden State Warriors,82,241.2,43.6,93.3,0.467,,,,43.6,93.3,0.467,18.9,25.4,0.745,14.4,32.1,46.5,25.6,10.6,4.9,18.5,25.8,106.1
15,16.0,Boston Celtics,82,241.8,42.6,93.1,0.458,,,,42.6,93.1,0.458,20.5,26.3,0.779,15.1,34.8,49.8,24.0,7.8,3.6,20.1,24.8,105.7
16,17.0,Buffalo Braves,82,241.5,41.6,89.3,0.466,,,,41.6,89.3,0.466,22.0,28.2,0.781,13.2,31.0,44.2,24.1,7.9,4.0,19.2,24.6,105.3
17,18.0,Seattle SuperSonics*,82,241.2,42.0,94.1,0.447,,,,42.0,94.1,0.447,20.4,28.7,0.712,17.8,31.7,49.5,21.9,9.5,5.2,20.0,24.5,104.5
18,19.0,Cleveland Cavaliers*,82,242.4,42.6,94.0,0.454,,,,42.6,94.0,0.454,19.1,25.8,0.741,14.5,32.6,47.1,21.2,8.4,5.5,16.9,22.3,104.4
19,20.0,Chicago Bulls,82,240.9,40.6,85.9,0.473,,,,40.6,85.9,0.473,22.7,30.1,0.754,15.2,31.4,46.6,25.8,8.1,3.9,20.3,23.5,103.9
20,21.0,Houston Rockets,82,240.6,43.0,93.8,0.458,,,,43.0,93.8,0.458,17.9,23.1,0.774,15.9,29.5,45.4,23.7,8.3,3.9,16.8,24.7,103.8
21,22.0,Atlanta Hawks*,82,241.8,40.7,88.5,0.46,,,,40.7,88.5,0.46,22.4,28.2,0.793,14.1,28.8,42.9,23.2,11.2,5.0,19.4,30.1,103.7
22,,League Average,82,241.8,43.6,92.9,0.469,,,,43.6,92.9,0.469,21.4,28.4,0.752,15.0,32.1,47.1,25.0,9.6,5.1,20.1,25.2,108.5
