,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Unnamed: 22_level_0,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0
,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22_level_1,eFG%,TOV%,DRB%,FT/FGA,Unnamed: 27_level_1,Arena,Attend.,Attend./G
0,1.0,Philadelphia 76ers*,27.2,62.0,20.0,60,22,7.85,-0.09,7.76,107.0,99.5,7.5,103.4,0.343,0.012,0.562,,0.515,17.3,32.3,0.264,,0.454,16.3,67.1,0.252,,The Spectrum,469355,11448.0
1,2.0,Milwaukee Bucks*,26.6,60.0,22.0,59,23,7.27,-0.13,7.14,108.7,101.8,6.9,103.6,0.313,0.018,0.546,,0.5,15.7,36.3,0.241,,0.461,16.6,65.6,0.28,,MECCA Arena,448366,10936.0
2,3.0,Boston Celtics*,27.0,62.0,20.0,56,26,5.88,0.17,6.05,108.4,102.6,5.8,100.8,0.334,0.034,0.553,,0.509,16.2,34.7,0.251,,0.464,15.1,67.0,0.24,,Boston Garden,595454,14914.0
3,4.0,Phoenix Suns*,25.7,57.0,25.0,55,27,5.51,-0.68,4.83,104.6,99.4,5.2,104.7,0.332,0.022,0.537,,0.492,17.1,35.1,0.247,,0.471,17.5,68.2,0.244,,Arizona Veterans Memorial Coliseum,482693,11773.0
4,5.0,Los Angeles Lakers*,27.0,54.0,28.0,51,31,3.84,-0.57,3.27,107.6,103.9,3.7,102.7,0.286,0.013,0.548,,0.513,15.8,33.9,0.209,,0.468,14.6,64.4,0.208,,The Forum,538865,13143.0
5,6.0,San Antonio Spurs*,26.7,52.0,30.0,48,34,2.88,-0.7,2.18,108.5,105.7,2.8,102.9,0.367,0.012,0.545,,0.492,15.4,37.5,0.282,,0.475,14.1,68.0,0.233,,HemisFair Arena,440553,10757.0
6,7.0,Chicago Bulls*,26.5,45.0,37.0,46,36,1.98,0.37,2.34,107.8,105.8,2.0,100.6,0.371,0.026,0.556,,0.504,17.2,36.9,0.288,,0.493,15.5,68.4,0.232,,Chicago Stadium,391118,9539.0
7,8.0,New York Knicks*,25.1,50.0,32.0,45,37,1.62,0.38,2.0,106.0,104.4,1.6,101.0,0.329,0.033,0.533,,0.487,15.0,31.6,0.246,,0.504,17.2,65.8,0.22,,Madison Square Garden (IV),544641,13284.0
8,9.0,Indiana Pacers*,26.0,44.0,38.0,45,37,1.4,0.32,1.72,106.4,105.0,1.4,100.9,0.351,0.023,0.528,,0.484,15.1,35.5,0.251,,0.492,17.0,64.5,0.248,,Market Square Arena,415339,10130.0
9,10.0,Portland Trail Blazers*,25.7,45.0,37.0,43,39,0.89,-0.37,0.52,106.5,105.7,0.8,103.0,0.291,0.02,0.534,,0.498,15.2,33.9,0.209,,0.49,15.8,65.7,0.246,,Memorial Coliseum,519306,12666.0
10,11.0,Houston Rockets*,26.8,40.0,42.0,42,40,0.33,-0.53,-0.2,107.0,106.7,0.3,100.5,0.303,0.016,0.534,,0.489,14.9,33.9,0.233,,0.496,14.7,66.6,0.214,,The Summit,385354,9399.0
11,12.0,Washington Bullets,28.6,39.0,43.0,41,41,0.01,0.41,0.42,102.7,102.7,0.0,102.4,0.276,0.032,0.514,,0.476,14.4,30.5,0.199,,0.472,14.3,67.8,0.212,,Capital Centre,377238,9201.0
12,13.0,Kansas City Kings*,26.2,40.0,42.0,41,41,0.01,-0.51,-0.49,104.7,104.7,0.0,101.3,0.308,0.023,0.54,,0.503,15.1,29.2,0.22,,0.483,15.6,68.3,0.265,,Kemper Arena,336385,8205.0
13,14.0,Denver Nuggets,26.8,37.0,45.0,40,42,-0.48,-0.47,-0.95,109.4,109.8,-0.4,109.8,0.383,0.018,0.537,,0.477,13.4,33.1,0.3,,0.509,14.6,65.4,0.232,,McNichols Sports Arena,423287,10324.0
14,15.0,Golden State Warriors,24.4,39.0,43.0,38,44,-1.18,-0.23,-1.41,108.5,109.7,-1.2,101.0,0.345,0.029,0.537,,0.493,15.6,38.8,0.251,,0.507,14.4,67.5,0.25,,Oakland-Alameda County Coliseum Arena,412969,10072.0
15,16.0,San Diego Clippers,27.6,36.0,46.0,37,45,-1.59,-0.2,-1.78,106.0,107.6,-1.6,100.2,0.308,0.056,0.528,,0.486,14.5,33.0,0.227,,0.507,16.2,66.3,0.262,,San Diego Sports Arena,257597,6283.0
16,17.0,Seattle SuperSonics,26.8,34.0,48.0,37,45,-1.65,-0.2,-1.84,103.2,104.8,-1.6,100.3,0.333,0.016,0.521,,0.47,15.7,33.1,0.254,,0.468,13.8,66.1,0.232,,,675097,
17,18.0,Atlanta Hawks,26.8,31.0,51.0,33,49,-3.1,0.73,-2.37,104.3,107.3,-3.0,99.4,0.377,0.012,0.537,,0.48,16.7,34.1,0.293,,0.498,17.3,64.8,0.295,,Omni Coliseum,362699,8846.0
18,19.0,Cleveland Cavaliers,25.7,28.0,54.0,29,53,-4.85,0.7,-4.15,104.3,109.1,-4.8,100.8,0.251,0.033,0.513,,0.472,14.2,33.5,0.195,,0.507,15.2,66.0,0.251,,Coliseum at Richfield,224499,5476.0
19,20.0,New Jersey Nets,25.2,24.0,58.0,26,56,-6.02,0.87,-5.15,101.0,106.7,-5.7,105.2,0.324,0.019,0.525,,0.478,16.6,30.4,0.243,,0.506,16.4,69.2,0.281,,Rutgers Athletic Center,301900,7367.0
20,21.0,Utah Jazz,25.3,28.0,54.0,26,56,-5.89,-0.1,-5.99,103.4,109.4,-6.0,97.7,0.305,0.024,0.536,,0.491,15.5,28.3,0.234,,0.492,13.8,66.8,0.268,,Salt Palace,307835,7508.0
21,22.0,Detroit Pistons,24.3,21.0,61.0,24,58,-6.32,0.74,-5.58,98.1,104.3,-6.2,101.2,0.334,0.012,0.51,,0.464,18.0,33.4,0.242,,0.512,18.6,65.9,0.242,,Pontiac Silverdome,228348,5569.0
22,23.0,Dallas Mavericks,24.8,15.0,67.0,20,62,-8.4,0.07,-8.33,102.4,110.8,-8.4,98.6,0.359,0.024,0.519,,0.466,15.2,30.7,0.27,,0.516,15.1,65.0,0.245,,Reunion Arena,319347,7789.0
23,,League Average,26.2,,,41,41,0.0,0.0,0.0,105.5,105.5,,101.8,0.327,0.023,0.534,,0.489,15.6,33.5,0.245,,0.489,15.6,66.5,0.245,,,411228,9727.0
