,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
0,1.0,Kobe Bryant,27.0,LAL,SG,80.0,80.0,41.0,12.2,27.2,0.45,2.3,6.5,0.347,10.0,20.7,0.482,0.491,8.7,10.2,0.85,0.9,4.4,5.3,4.5,1.8,0.4,3.1,2.9,35.4,"MVP-4,AS,NBA1,DEF1"
1,2.0,Allen Iverson,30.0,PHI,PG,72.0,72.0,43.1,11.3,25.3,0.447,1.0,3.1,0.323,10.3,22.2,0.465,0.467,9.4,11.5,0.814,0.6,2.6,3.2,7.4,1.9,0.1,3.4,1.7,33.0,"MVP-10,AS,NBA3"
2,3.0,LeBron James,21.0,CLE,SF,79.0,79.0,42.5,11.1,23.1,0.48,1.6,4.8,0.335,9.5,18.3,0.518,0.515,7.6,10.3,0.738,0.9,6.1,7.0,6.6,1.6,0.8,3.3,2.3,31.4,"MVP-2,AS,NBA1"
3,4.0,Gilbert Arenas,24.0,WAS,PG,80.0,80.0,42.3,9.3,20.9,0.447,2.5,6.8,0.369,6.8,14.1,0.485,0.507,8.2,10.0,0.82,0.7,2.8,3.5,6.1,2.0,0.3,3.7,3.6,29.3,"AS,NBA3"
4,5.0,Dwyane Wade,24.0,MIA,SG,75.0,75.0,38.6,9.3,18.8,0.495,0.2,1.0,0.171,9.1,17.8,0.513,0.499,8.4,10.7,0.783,1.4,4.3,5.7,6.7,1.9,0.8,3.6,2.9,27.2,"MVP-6,AS,NBA2"
5,6.0,Paul Pierce,28.0,BOS,SF,79.0,79.0,39.0,8.7,18.5,0.471,1.4,4.0,0.354,7.3,14.5,0.503,0.509,7.9,10.3,0.772,1.0,5.7,6.7,4.7,1.4,0.4,3.5,2.8,26.8,AS
6,7.0,Dirk Nowitzki,27.0,DAL,PF,81.0,81.0,38.1,9.3,19.3,0.48,1.4,3.3,0.406,7.9,16.0,0.496,0.515,6.7,7.4,0.901,1.4,7.6,9.0,2.8,0.7,1.0,1.9,2.0,26.6,"MVP-3,AS,NBA1"
7,8.0,Carmelo Anthony,21.0,DEN,SF,80.0,80.0,36.8,9.5,19.7,0.481,0.5,1.9,0.243,9.0,17.8,0.506,0.493,7.2,8.9,0.808,1.5,3.4,4.9,2.7,1.1,0.5,2.7,2.9,26.5,NBA3
8,9.0,Michael Redd,26.0,MIL,SG,80.0,80.0,39.1,8.5,19.0,0.45,2.0,5.2,0.395,6.5,13.8,0.471,0.504,6.3,7.1,0.877,1.0,3.3,4.3,2.9,1.2,0.1,2.1,2.0,25.4,
9,10.0,Ray Allen,30.0,SEA,SG,78.0,78.0,38.7,8.7,19.2,0.454,3.4,8.4,0.412,5.3,10.9,0.486,0.544,4.2,4.6,0.903,0.9,3.3,4.3,3.7,1.3,0.2,2.4,1.9,25.1,AS
10,11.0,Elton Brand,26.0,LAC,PF,79.0,79.0,39.2,9.6,18.2,0.527,0.0,0.0,0.333,9.6,18.1,0.527,0.527,5.6,7.2,0.775,3.0,7.0,10.0,2.6,1.0,2.5,2.2,2.9,24.7,"MVP-7,DPOY-10,AS,NBA2"
11,12.0,Tracy McGrady,26.0,HOU,SF,47.0,47.0,37.1,8.7,21.5,0.406,1.6,5.0,0.312,7.2,16.5,0.434,0.442,5.4,7.2,0.747,1.0,5.6,6.5,4.8,1.3,0.9,2.6,1.9,24.4,AS
12,13.0,Vince Carter,29.0,NJN,SG,79.0,79.0,36.8,8.3,19.2,0.43,1.6,4.6,0.341,6.7,14.6,0.459,0.471,6.1,7.6,0.799,1.7,4.1,5.8,4.3,1.2,0.7,2.7,3.0,24.2,AS
13,14.0,Jason Richardson,25.0,GSW,SG,75.0,75.0,38.4,8.5,19.2,0.446,2.4,6.4,0.384,6.1,12.8,0.477,0.509,3.7,5.5,0.673,1.4,4.4,5.8,3.1,1.3,0.5,2.2,2.7,23.2,
14,15.0,Chris Bosh,21.0,TOR,C,70.0,70.0,39.3,7.8,15.5,0.505,0.0,0.2,0.0,7.8,15.3,0.511,0.505,6.8,8.3,0.816,2.9,6.3,9.2,2.6,0.7,1.1,2.2,3.0,22.5,AS
15,16.0,Yao Ming,25.0,HOU,C,57.0,57.0,34.2,8.2,15.8,0.519,0.0,0.0,0.0,8.2,15.8,0.519,0.519,5.9,6.9,0.853,2.6,7.6,10.2,1.5,0.5,1.6,2.6,3.4,22.3,"AS,NBA3"
16,17.0,Kevin Garnett,29.0,MIN,PF,76.0,76.0,38.9,8.2,15.7,0.526,0.1,0.4,0.267,8.1,15.3,0.532,0.529,5.2,6.4,0.81,2.8,9.9,12.7,4.1,1.4,1.4,2.4,2.7,21.8,"DPOY-13,AS,DEF2"
17,18.0,Shawn Marion,27.0,PHO,PF,81.0,81.0,40.3,8.8,16.9,0.525,1.2,3.6,0.331,7.7,13.3,0.577,0.56,3.0,3.7,0.809,3.1,8.8,11.8,1.8,2.0,1.7,1.5,2.8,21.8,"MVP-10,DPOY-7,AS,NBA3"
18,19.0,Mike Bibby,27.0,SAC,PG,82.0,82.0,38.6,7.3,16.9,0.432,2.3,6.1,0.386,4.9,10.8,0.458,0.501,4.2,4.9,0.849,0.4,2.6,2.9,5.4,1.0,0.1,2.4,2.1,21.1,
19,20.0,Antawn Jamison,29.0,WAS,SF,82.0,80.0,40.1,8.0,18.2,0.442,1.8,4.5,0.394,6.3,13.7,0.458,0.491,2.6,3.6,0.731,2.0,7.3,9.3,1.9,1.1,0.1,1.7,2.3,20.5,
20,21.0,Pau Gasol,25.0,MEM,PF,80.0,80.0,39.2,7.5,14.9,0.503,0.0,0.2,0.25,7.5,14.8,0.505,0.504,5.3,7.7,0.689,2.4,6.5,8.9,4.6,0.6,1.9,2.9,2.3,20.4,AS
21,22.0,Mike James,30.0,TOR,PG,79.0,79.0,37.0,7.3,15.5,0.469,2.1,4.8,0.442,5.2,10.7,0.481,0.538,3.6,4.3,0.837,0.6,2.7,3.3,5.8,0.9,0.0,2.6,2.7,20.3,
22,23.0,Joe Johnson,24.0,ATL,SG,82.0,82.0,40.7,7.7,17.0,0.453,1.6,4.4,0.356,6.1,12.6,0.487,0.499,3.2,4.0,0.791,1.2,2.9,4.1,6.5,1.3,0.4,3.3,2.3,20.2,
23,24.0,Chris Webber,32.0,PHI,PF,75.0,75.0,38.6,8.2,19.0,0.434,0.3,1.0,0.273,7.9,17.9,0.443,0.441,3.5,4.6,0.756,2.5,7.4,9.9,3.4,1.4,0.8,2.4,2.9,20.2,
24,25.0,Richard Hamilton,27.0,DET,SG,80.0,80.0,35.3,8.1,16.5,0.491,0.7,1.5,0.458,7.4,15.0,0.494,0.512,3.2,3.8,0.845,1.1,2.2,3.2,3.4,0.7,0.2,2.2,2.6,20.1,AS
25,26.0,Rashard Lewis,26.0,SEA,SF,78.0,77.0,36.9,6.9,14.8,0.467,1.8,4.7,0.384,5.1,10.0,0.507,0.529,4.5,5.5,0.818,1.4,3.6,5.0,2.3,1.3,0.6,1.8,2.4,20.1,
26,27.0,Jermaine O'Neal,27.0,IND,PF,51.0,47.0,35.3,7.5,15.8,0.472,0.1,0.2,0.3,7.4,15.6,0.474,0.474,5.1,7.2,0.709,2.0,7.3,9.3,2.6,0.5,2.3,3.0,3.5,20.1,AS
27,28.0,Shaquille O'Neal,33.0,MIA,C,59.0,58.0,30.6,8.1,13.6,0.6,0.0,0.0,,8.1,13.6,0.6,0.6,3.7,8.0,0.469,2.9,6.3,9.2,1.9,0.4,1.8,2.8,3.9,20.0,"AS,NBA1"
28,29.0,Richard Jefferson,25.0,NJN,SF,78.0,78.0,39.2,6.3,12.9,0.493,0.8,2.4,0.319,5.6,10.5,0.532,0.522,6.0,7.4,0.812,1.2,5.6,6.8,3.8,0.8,0.2,2.2,2.5,19.5,
29,30.0,Ricky Davis,26.0,2TM,SG,78.0,78.0,41.1,7.5,16.7,0.448,0.9,3.1,0.302,6.6,13.6,0.481,0.476,3.5,4.4,0.797,0.8,3.7,4.5,5.1,1.2,0.2,2.7,2.4,19.4,
30,30.0,Ricky Davis,26.0,BOS,SG,42.0,42.0,41.6,7.8,16.9,0.464,1.0,3.0,0.32,6.9,13.9,0.495,0.492,3.1,3.9,0.787,1.0,3.5,4.5,5.3,1.2,0.2,2.7,2.2,19.7,
31,30.0,Ricky Davis,26.0,MIN,SF,36.0,36.0,40.6,7.1,16.5,0.429,0.9,3.3,0.282,6.2,13.3,0.464,0.456,4.1,5.0,0.807,0.7,3.9,4.6,4.8,1.2,0.2,2.7,2.8,19.1,
32,31.0,Wally Szczerbiak,28.0,2TM,SF,72.0,71.0,37.9,6.8,14.1,0.487,1.4,3.5,0.4,5.4,10.5,0.517,0.538,3.9,4.3,0.897,1.1,3.3,4.3,3.0,0.6,0.3,1.9,2.1,19.0,
33,31.0,Wally Szczerbiak,28.0,MIN,SF,40.0,40.0,38.9,7.3,14.8,0.495,1.5,3.6,0.406,5.9,11.2,0.523,0.544,4.1,4.6,0.896,0.9,3.9,4.8,2.8,0.5,0.4,2.2,2.3,20.1,
34,31.0,Wally Szczerbiak,28.0,BOS,SF,32.0,31.0,36.7,6.3,13.2,0.476,1.4,3.5,0.393,4.9,9.7,0.506,0.528,3.6,4.0,0.898,1.3,2.6,3.8,3.2,0.6,0.1,1.6,1.9,17.5,
35,32.0,Tony Parker,23.0,SAS,PG,80.0,80.0,33.9,7.8,14.2,0.548,0.1,0.5,0.306,7.7,13.8,0.556,0.553,3.2,4.5,0.707,0.5,2.8,3.3,5.8,1.0,0.1,3.1,2.0,18.9,"MVP-9,AS"
36,33.0,Steve Nash,31.0,PHO,PG,79.0,79.0,35.4,6.8,13.4,0.512,1.9,4.3,0.439,4.9,9.0,0.548,0.583,3.3,3.5,0.921,0.6,3.6,4.2,10.5,0.8,0.2,3.5,1.5,18.8,"MVP-1,AS,NBA1"
37,34.0,Tim Duncan,29.0,SAS,PF,80.0,80.0,34.8,7.2,14.8,0.484,0.0,0.1,0.4,7.2,14.8,0.485,0.485,4.2,6.7,0.629,2.9,8.1,11.0,3.2,0.9,2.0,2.5,2.7,18.6,"MVP-8,DPOY-6,AS,NBA2,DEF2"
38,35.0,Al Harrington,25.0,ATL,PF,76.0,76.0,36.6,7.3,16.1,0.452,0.9,2.5,0.346,6.4,13.5,0.471,0.479,3.2,4.6,0.694,1.7,5.1,6.9,3.1,1.1,0.2,2.6,4.0,18.6,
39,36.0,Chauncey Billups,29.0,DET,PG,81.0,81.0,36.1,5.2,12.5,0.418,2.3,5.2,0.433,3.0,7.2,0.407,0.509,5.7,6.4,0.894,0.5,2.6,3.1,8.6,0.9,0.1,2.1,2.0,18.5,"MVP-5,AS,NBA2,DEF2"
40,37.0,Peja Stojaković,28.0,2TM,SF,71.0,71.0,36.6,6.3,14.3,0.437,2.3,5.7,0.401,4.0,8.6,0.461,0.517,3.4,3.7,0.915,1.1,4.7,5.8,1.9,0.6,0.1,1.5,2.4,18.2,
41,37.0,Peja Stojaković,28.0,SAC,SF,31.0,31.0,37.0,5.5,13.7,0.403,2.3,5.8,0.397,3.2,7.9,0.408,0.487,3.2,3.4,0.933,1.1,4.2,5.3,2.2,0.6,0.1,1.6,2.6,16.5,
42,37.0,Peja Stojaković,28.0,IND,SF,40.0,40.0,36.4,6.9,14.9,0.461,2.3,5.6,0.404,4.6,9.2,0.496,0.538,3.5,3.9,0.903,1.1,5.1,6.3,1.7,0.7,0.2,1.3,2.2,19.5,
43,38.0,Mehmet Okur,26.0,UTA,PF,82.0,82.0,35.9,6.3,13.8,0.46,1.0,2.9,0.342,5.4,10.9,0.491,0.496,4.3,5.5,0.78,2.6,6.5,9.1,2.4,0.5,0.9,2.0,3.5,18.0,
44,39.0,Zach Randolph,24.0,POR,PF,74.0,71.0,34.4,7.2,16.6,0.436,0.2,0.7,0.291,7.0,15.9,0.443,0.443,3.3,4.6,0.714,2.6,5.4,8.0,1.9,0.8,0.2,2.2,2.5,18.0,
45,40.0,Baron Davis,26.0,GSW,PG,54.0,48.0,36.5,6.2,15.9,0.389,1.9,6.0,0.315,4.3,9.9,0.434,0.448,3.6,5.4,0.675,0.8,3.5,4.4,8.9,1.6,0.3,2.9,3.1,17.9,
46,41.0,Corey Maggette,26.0,LAC,SF,32.0,13.0,29.5,5.2,11.7,0.445,0.8,2.2,0.338,4.5,9.5,0.47,0.477,6.6,8.0,0.828,0.9,4.4,5.3,2.1,0.6,0.1,2.4,3.0,17.8,
