,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Cleveland Cavaliers,82,242.1,30.3,68.8,0.441,5.6,15.0,0.373,24.7,53.8,0.46,19.4,26.1,0.742,10.3,26.7,37.0,20.1,6.7,4.3,16.2,21.3,85.6
1,2.0,Detroit Pistons*,82,241.8,33.8,76.0,0.444,6.4,17.4,0.369,27.3,58.5,0.467,15.0,20.3,0.737,11.8,27.6,39.4,21.9,6.0,3.4,14.6,21.8,88.9
2,3.0,Miami Heat*,82,241.5,32.8,75.9,0.432,5.0,13.8,0.362,27.8,62.1,0.447,18.8,25.7,0.731,12.2,28.3,40.5,18.4,7.9,4.8,16.1,22.3,89.3
3,4.0,Atlanta Hawks*,82,241.5,34.2,78.7,0.435,5.9,17.1,0.347,28.3,61.6,0.459,15.1,20.4,0.737,12.7,27.1,39.9,20.3,7.4,4.0,15.5,21.3,89.4
4,5.0,New York Knicks*,82,242.1,32.5,76.5,0.425,5.9,16.8,0.35,26.6,59.7,0.446,21.4,29.1,0.733,11.1,27.1,38.2,19.4,8.9,3.6,16.3,23.0,92.2
5,6.0,Chicago Bulls*,82,240.6,35.3,81.1,0.436,5.7,17.2,0.335,29.6,64.0,0.463,15.9,21.6,0.737,13.3,26.9,40.2,19.7,7.6,3.5,15.8,21.1,92.3
6,7.0,Seattle SuperSonics*,82,241.2,33.6,76.3,0.441,7.5,20.0,0.373,26.2,56.3,0.465,18.5,24.9,0.741,12.4,27.5,39.9,21.4,7.7,5.2,18.7,23.5,93.2
7,8.0,Utah Jazz*,82,241.8,33.0,75.5,0.438,6.4,18.0,0.352,26.7,57.4,0.465,21.9,29.2,0.75,11.7,25.6,37.3,19.4,7.8,4.5,16.2,24.9,94.3
8,9.0,Indiana Pacers,82,243.0,34.1,77.5,0.44,6.1,17.6,0.347,28.0,60.0,0.468,20.0,26.6,0.753,12.2,27.6,39.8,21.2,8.5,5.1,15.7,23.8,94.4
9,10.0,Orlando Magic*,82,242.1,36.2,78.7,0.46,5.5,16.2,0.343,30.6,62.5,0.49,16.6,22.7,0.732,13.2,29.2,42.4,21.9,8.6,5.1,16.0,21.6,94.5
10,11.0,Portland Trail Blazers*,82,242.1,34.1,78.3,0.436,5.6,15.6,0.357,28.5,62.7,0.455,21.0,28.4,0.739,11.6,26.8,38.4,20.8,8.0,5.2,15.1,23.0,94.8
11,12.0,Los Angeles Lakers*,82,243.0,35.6,80.7,0.441,5.8,16.8,0.347,29.8,63.9,0.466,18.6,25.9,0.718,13.5,28.9,42.4,22.9,7.6,4.7,16.4,23.6,95.7
12,13.0,Houston Rockets*,82,242.1,37.0,83.5,0.443,6.3,18.9,0.335,30.6,64.6,0.474,15.9,21.8,0.729,12.5,28.4,41.0,22.4,8.9,4.5,14.3,21.2,96.1
